Gathered from fivem docs,,,this was column was generated by grok (and checked with equal.py),,,
Index,Name,Default QWERTY,Input Code,Category,Input Mapper,Description
0,INPUT_NEXT_CAMERA,V,V,DIGITALBUTTON_AXIS,,Controller button input as axis input
1,INPUT_LOOK_LR,MOUSE RIGHT,MOUSE_RIGHT,,UNKNOWN,Valid parameters for this mapper are unknown.
2,INPUT_LOOK_UD,MOUSE DOWN,MOUSE_MIDDLE,,UNKNOWN,This is presumably an input mapper for axis input from digital controller buttons.
3,INPUT_LOOK_UP_ONLY,NONE,NONE,GAME_CONTROLLED,,Game controlled input
4,INPUT_LOOK_DOWN_ONLY,MOUSE DOWN,MOUSE_MIDDLE,,UNKNOWN,Valid parameters for this mapper are unknown.
5,INPUT_LOOK_LEFT_ONLY,NONE,NONE,,UNKNOWN,This is presumably an input source for input being forced/controlled by the game. More testing is needed to confirm this.
6,INPUT_LOOK_RIGHT_ONLY,MOUSE RIGHT,MOUSE_RIGHT,JOYSTICK_AXIS,,Joystick / flight stick axis input
7,INPUT_CINEMATIC_SLOWMO,NONE,NONE,,IOM_JOYSTICK_AXIS1,hardware dependent
8,INPUT_SCRIPTED_FLY_UD,S,S,,IOM_JOYSTICK_AXIS2,hardware dependent
9,INPUT_SCRIPTED_FLY_LR,D,D,,IOM_JOYSTICK_AXIS3,hardware dependent
10,INPUT_SCRIPTED_FLY_ZUP,PAGEUP,PAGEUP,,IOM_JOYSTICK_AXIS4,hardware dependent
11,INPUT_SCRIPTED_FLY_ZDOWN,PAGEDOWN,PAGEDOWN,,IOM_JOYSTICK_AXIS5,hardware dependent
12,INPUT_WEAPON_WHEEL_UD,MOUSE DOWN,MOUSE_MIDDLE,,IOM_JOYSTICK_AXIS6,hardware dependent
13,INPUT_WEAPON_WHEEL_LR,MOUSE RIGHT,MOUSE_RIGHT,,IOM_JOYSTICK_AXIS7,hardware dependent
14,INPUT_WEAPON_WHEEL_NEXT,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,IOM_JOYSTICK_AXIS8,hardware dependent
15,INPUT_WEAPON_WHEEL_PREV,SCROLLWHEEL UP,IOM_WHEEL_UP,JOYSTICK_AXIS_NEGATIVE,,Joystick / flight stick axis input (always negative)
16,INPUT_SELECT_NEXT_WEAPON,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,IOM_JOYSTICK_AXIS1,hardware dependent
17,INPUT_SELECT_PREV_WEAPON,SCROLLWHEEL UP,IOM_WHEEL_UP,,IOM_JOYSTICK_AXIS2,hardware dependent
18,INPUT_SKIP_CUTSCENE,"ENTER, LEFT MOUSE BUTTON, SPACEBAR","RETURN, MOUSE_LEFT, SPACE",,IOM_JOYSTICK_AXIS3,hardware dependent
19,INPUT_CHARACTER_WHEEL,LEFT ALT,LMENU,,IOM_JOYSTICK_AXIS4,hardware dependent
20,INPUT_MULTIPLAYER_INFO,Z,Z,,IOM_JOYSTICK_AXIS5,hardware dependent
21,INPUT_SPRINT,LEFT SHIFT,LSHIFT,,IOM_JOYSTICK_AXIS6,hardware dependent
22,INPUT_JUMP,SPACEBAR,SPACE,,IOM_JOYSTICK_AXIS7,hardware dependent
23,INPUT_ENTER,F,F,,IOM_JOYSTICK_AXIS8,hardware dependent
24,INPUT_ATTACK,LEFT MOUSE BUTTON,MOUSE_LEFT,JOYSTICK_AXIS_POSITIVE,,Joystick / flight stick axis input (always positive)
25,INPUT_AIM,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,IOM_JOYSTICK_AXIS1,hardware dependent
26,INPUT_LOOK_BEHIND,C,C,,IOM_JOYSTICK_AXIS2,hardware dependent
27,INPUT_PHONE,"ARROW UP, SCROLLWHEEL BUTTON (PRESS)","UP, MOUSE_MIDDLE",,IOM_JOYSTICK_AXIS3,hardware dependent
28,INPUT_SPECIAL_ABILITY,NONE,NONE,,IOM_JOYSTICK_AXIS4,hardware dependent
29,INPUT_SPECIAL_ABILITY_SECONDARY,B,B,,IOM_JOYSTICK_AXIS5,hardware dependent
30,INPUT_MOVE_LR,D,D,,IOM_JOYSTICK_AXIS6,hardware dependent
31,INPUT_MOVE_UD,S,S,,IOM_JOYSTICK_AXIS7,hardware dependent
32,INPUT_MOVE_UP_ONLY,W,W,,IOM_JOYSTICK_AXIS8,hardware dependent
