DIGITALBUTTON_AXIS,,Controller button input as axis input
,UNKNOWN1,Valid parameters for this mapper are unknown.
,UNKNOWN2,This is presumably an input mapper for axis input from digital controller buttons.
GAME_CONTROLLED,,Game controlled input
,UNKNOWN1,Valid parameters for this mapper are unknown.
,UNKNOWN2,This is presumably an input source for input being forced/controlled by the game. More testing is needed to confirm this.
JOYSTICK_AXIS,,Joystick / flight stick axis input
,IOM_JOYSTICK_AXIS1,hardware dependent
,IOM_JOYSTICK_AXIS2,hardware dependent
,IOM_JOYSTICK_AXIS3,hardware dependent
,IOM_JOYSTICK_AXIS4,hardware dependent
,IOM_JOYSTICK_AXIS5,hardware dependent
,IOM_JOYSTICK_AXIS6,hardware dependent
,IOM_JOYSTICK_AXIS7,hardware dependent
,IOM_JOYSTICK_AXIS8,hardware dependent
JOYSTICK_AXIS_NEGATIVE,,Joystick / flight stick axis input (always negative)
,IOM_JOYSTICK_AXIS1,hardware dependent
,IOM_JOYSTICK_AXIS2,hardware dependent
,IOM_JOYSTICK_AXIS3,hardware dependent
,IOM_JOYSTICK_AXIS4,hardware dependent
,IOM_JOYSTICK_AXIS5,hardware dependent
,IOM_JOYSTICK_AXIS6,hardware dependent
,IOM_JOYSTICK_AXIS7,hardware dependent
,IOM_JOYSTICK_AXIS8,hardware dependent
JOYSTICK_AXIS_POSITIVE,,Joystick / flight stick axis input (always positive)
,IOM_JOYSTICK_AXIS1,hardware dependent
,IOM_JOYSTICK_AXIS2,hardware dependent
,IOM_JOYSTICK_AXIS3,hardware dependent
,IOM_JOYSTICK_AXIS4,hardware dependent
,IOM_JOYSTICK_AXIS5,hardware dependent
,IOM_JOYSTICK_AXIS6,hardware dependent
,IOM_JOYSTICK_AXIS7,hardware dependent
,IOM_JOYSTICK_AXIS8,hardware dependent
JOYSTICK_BUTTON,,Joystick / flight stick button input
,IOM_JOYSTICK_BUTTON1,hardware dependent
,IOM_JOYSTICK_BUTTON2,hardware dependent
,IOM_JOYSTICK_BUTTON3,hardware dependent
,IOM_JOYSTICK_BUTTON4,hardware dependent
,IOM_JOYSTICK_BUTTON5,hardware dependent
,IOM_JOYSTICK_BUTTON6,hardware dependent
,IOM_JOYSTICK_BUTTON7,hardware dependent
,IOM_JOYSTICK_BUTTON8,hardware dependent
,IOM_JOYSTICK_BUTTON9,hardware dependent
,IOM_JOYSTICK_BUTTON10,hardware dependent
,IOM_JOYSTICK_BUTTON11,hardware dependent
,IOM_JOYSTICK_BUTTON12,hardware dependent
,IOM_JOYSTICK_BUTTON13,hardware dependent
,IOM_JOYSTICK_BUTTON14,hardware dependent
,IOM_JOYSTICK_BUTTON15,hardware dependent
,IOM_JOYSTICK_BUTTON16,hardware dependent
,IOM_JOYSTICK_BUTTON17,hardware dependent
,IOM_JOYSTICK_BUTTON18,hardware dependent
,IOM_JOYSTICK_BUTTON19,hardware dependent
,IOM_JOYSTICK_BUTTON20,hardware dependent
,IOM_JOYSTICK_BUTTON21,hardware dependent
,IOM_JOYSTICK_BUTTON22,hardware dependent
,IOM_JOYSTICK_BUTTON23,hardware dependent
,IOM_JOYSTICK_BUTTON24,hardware dependent
,IOM_JOYSTICK_BUTTON25,hardware dependent
,IOM_JOYSTICK_BUTTON26,hardware dependent
,IOM_JOYSTICK_BUTTON27,hardware dependent
,IOM_JOYSTICK_BUTTON28,hardware dependent
,IOM_JOYSTICK_BUTTON29,hardware dependent
,IOM_JOYSTICK_BUTTON30,hardware dependent
,IOM_JOYSTICK_BUTTON31,hardware dependent
,IOM_JOYSTICK_BUTTON32,hardware dependent
JOYSTICK_IAXIS,,Joystick / flight stick axis input (inverted)
,IOM_JOYSTICK_AXIS1,hardware dependent
,IOM_JOYSTICK_AXIS2,hardware dependent
